date,CO,NO2,O3,PM10,PM2.5,SO2,气温,气压,风向,风速,湿度
2017-01-01 00:00:00,6.6,130.0,6.0,499.0,471.0,6.0,-4.9,1026.9,70.0,1.0,94.0905702708576
2017-01-01 03:00:00,6.6,129.0,5.0,488.0,445.0,4.0,-3.7,1026.7,200.0,1.0,94.14942107562626
2017-01-01 06:00:00,7.7,125.0,7.0,476.0,440.0,4.0,-1.7000000000000002,1024.2,200.0,2.0,79.90353156517507
2017-01-01 09:00:00,8.2,153.0,7.0,502.0,435.0,7.0,-2.4000000000000004,1023.5,220.0,2.0,82.88824319506017
2017-01-01 12:00:00,8.6,209.0,8.0,535.0,533.0,13.0,-3.9,1024.8,160.0,1.0,90.63351065940408
2017-01-01 15:00:00,7.2,224.0,9.0,568.0,552.0,13.0,-4.800000000000001,1025.6,220.0,2.0,92.66859332398288
2017-01-01 18:00:00,7.5,220.0,6.0,560.0,526.0,9.0,-5.800000000000001,1025.7,180.0,1.0,96.2407333247656
2017-01-01 21:00:00,7.4,196.0,6.0,522.0,480.0,7.0,-7.1000000000000005,1025.4,200.0,1.0,93.2510167823878
2017-01-02 00:00:00,7.5,184.0,6.0,468.5,441.5,7.0,-7.7,1027.1,220.0,2.0,91.04844010621528
2017-01-02 03:00:00,7.6,172.0,6.0,415.0,403.0,7.0,-2.5,1028.4,220.0,2.0,92.80654354472765
2017-01-02 06:00:00,1.7,76.0,10.0,343.0,75.0,8.0,3.7,1026.1,220.0,3.0,55.77425421704163
2017-01-02 09:00:00,1.6,82.0,11.0,271.0,28.0,19.0,1.6,1025.4,220.0,2.0,54.76948769166615
2017-01-02 12:00:00,3.3,109.0,33.0,199.0,113.0,21.0,-0.4,1025.7,220.0,2.0,62.81914904142691
2017-01-02 15:00:00,4.1,127.0,50.0,214.75,259.0,29.0,-3.6,1024.9,180.0,1.0,82.72736548213149
2017-01-02 18:00:00,2.6,121.0,24.0,230.5,159.0,20.0,-5.300000000000001,1024.1,140.0,1.0,87.77496701322498
2017-01-02 21:00:00,2.4,113.0,11.0,246.25,124.0,16.0,-5.5,1023.0,160.0,1.0,89.8140138861124
2017-01-03 00:00:00,5.5,156.0,8.0,262.0,238.0,20.0,-5.1000000000000005,1023.4,0.0,0.0,89.84733461242259
2017-01-03 03:00:00,5.7,157.0,6.0,247.33333333333334,246.0,15.0,-1.2000000000000002,1023.7,160.0,2.0,83.0469667496004
2017-01-03 06:00:00,5.3,148.0,6.0,232.66666666666666,217.0,12.0,3.2,1021.0,200.0,3.0,61.8271963892944
2017-01-03 09:00:00,6.3,155.0,6.0,218.0,205.0,19.0,1.9,1021.7,220.0,2.0,63.8681576068736
2017-01-03 12:00:00,4.2,150.0,16.0,219.0,199.0,42.0,-0.7000000000000001,1024.0,160.0,1.0,86.2720150028469
2017-01-03 15:00:00,3.8,153.0,11.5,220.0,203.0,34.0,-3.3000000000000003,1025.1,200.0,2.0,94.16884482799912
2017-01-03 18:00:00,7.4,210.0,7.0,492.0,439.0,24.0,-4.1000000000000005,1025.5,220.0,1.0,96.29437547286037
2017-01-03 21:00:00,8.2,197.0,7.0,560.0,496.0,13.0,-4.3,1025.5,360.0,1.0,97.0205719217806
